"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,132.95,4.28,10.02,9.58,7.89,7.91,1.01,22.61,15.3,137.32,20.6,194.43,21.46,250.48,1.57,18.28,-21.6,-122.02,-173.83,-229.02,-16.71,6.6,83.53
"Adam Hall","ADAM.HALL","07-08","PIT","R","R",1980-08-14,27,46,149.33,0,14.6,10.82,9.75,10.16,0,13.75,20.81,121.76,22.58,186.02,26.13,241.84,1.76,15.56,-13.75,-100.95,-163.44,-215.71,-13.8,0,88.71
"Adam Hall","ADAM.HALL","08-09","T.B","R","R",1980-08-14,28,74,187.87,0,6.14,6.68,6.29,5.84,0,19.67,10.43,159.51,16.36,228.62,21.24,316.64,1.16,18.69,-19.67,-149.08,-212.26,-295.4,-17.53,0,87.67
"Adam Hall","ADAM.HALL","10-11","T.B","R","R",1980-08-14,30,82,227.73,3.84,7.64,6.43,4.8,2.98,0.93,23.27,16.25,196.5,19.24,279.87,20.29,402.37,0.74,24.07,-22.34,-180.25,-260.63,-382.08,-23.33,5.72,88.16
"Adam Hall","ADAM.HALL","11-12","T.B","R","R",1980-08-14,31,57,161.5,0,7.07,6.5,5.57,5.23,0,23.98,11.87,156.01,15.95,229.5,17.75,300.8,1.14,20.64,-23.98,-144.14,-213.55,-283.05,-19.5,0,84.63
"Adam Hall","ADAM.HALL","13-14","PHI","R","R",1980-08-14,33,80,236.03,4.93,15.58,14.83,12.81,7.01,1.01,19.47,33.09,179.28,42.63,244.79,51.08,347.54,1.88,24.93,-18.46,-146.19,-202.16,-296.46,-23.05,3.05,89.14
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,72,130.87,39.79,26.99,25.22,21.38,27.73,6,9.08,34.15,92.37,41.55,123.19,46.73,171.8,4.39,11.44,-3.08,-58.22,-81.64,-125.07,-7.05,17.57,90.17
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,72.88,29.79,25.98,25.03,21.69,22.59,4.96,11.69,15.66,44.61,21.12,63.25,27.02,97.58,1.9,6.51,-6.73,-28.95,-42.13,-70.56,-4.61,31.67,73.8
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,166.42,35.96,16.94,16.34,14.13,12.33,5.85,10.42,24.18,118.6,34.15,174.89,38.34,233.07,2.07,14.72,-4.57,-94.42,-140.74,-194.73,-12.65,24.19,91.21
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,74,138.72,5.62,6.48,6.58,5.76,7.66,1.18,19.82,9.11,131.58,12.02,170.77,13.87,226.86,1.31,15.79,-18.64,-122.47,-158.75,-212.99,-14.48,12.95,84.94
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,78,207.98,15.45,11.33,11.1,9.4,13.46,3.06,16.75,22.94,179.57,31.45,251.79,35.5,342.12,3.69,23.73,-13.69,-156.63,-220.34,-306.62,-20.04,13.34,90.67
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,82,183.95,15.13,10.79,8.23,8.43,8.27,3.25,18.23,19.57,161.8,20.69,230.56,27.15,295,1.93,21.41,-14.98,-142.23,-209.87,-267.85,-19.48,16.61,88.73
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,55,57.18,51.06,30.39,23.86,23.53,17.22,1.93,1.85,19.14,43.84,21.05,67.17,26.26,85.35,1.45,6.97,0.08,-24.7,-46.12,-59.09,-5.52,10.08,95.78
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,69.62,16.7,18.35,15.1,11.94,15.88,2.42,12.07,15.34,68.26,17.41,97.85,17.36,128.05,2.05,10.86,-9.65,-52.92,-80.44,-110.69,-8.81,15.78,82.32
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,79,88.73,7.87,11.41,12.34,10.41,9.07,0.93,10.88,11.66,90.54,15.63,111.06,16.5,141.97,0.98,9.83,-9.95,-78.88,-95.43,-125.47,-8.85,7.98,87.98
"Adam Larsson","ADAM.LARSSON","14-15","N.J","D","R",1992-11-12,21,63,202.3,5.89,9.45,8.28,7.94,4.62,1.01,16.15,19.06,182.55,22.07,244.48,28.14,326.38,1.12,23.12,-15.14,-163.49,-222.41,-298.24,-22,5.3,91.15
"Adam Larsson","ADAM.LARSSON","15-16","N.J","D","R",1992-11-12,22,80,271.03,10.77,8.2,7.9,7.36,8.2,2.98,24.69,22.29,249.56,28.38,331.02,34.45,433.61,2.78,31.13,-21.71,-227.27,-302.64,-399.16,-28.35,13.37,90.11
"Adam Larsson","ADAM.LARSSON","16-17","EDM","D","R",1992-11-12,23,77,124,5.02,13.57,14.05,12.51,8.61,0.93,17.6,16.88,107.53,24.41,149.3,29.52,206.41,1.34,14.23,-16.67,-90.65,-124.89,-176.89,-12.89,5.51,83.63
"Adam Larsson","ADAM.LARSSON","17-18","EDM","D","R",1992-11-12,24,61,150.13,9.54,17.06,15.46,13.84,11.52,2.01,19.06,28.09,136.55,33.63,183.96,40.5,252.09,2.5,19.2,-17.05,-108.46,-150.33,-211.59,-16.7,7.16,86.04
"Adam Larsson","ADAM.LARSSON","18-19","EDM","D","R",1992-11-12,25,81,162.15,11.72,16.11,16.51,15.46,15.41,3.34,25.16,27.13,141.32,37.4,189.17,42.6,232.94,3.17,17.4,-21.82,-114.19,-151.77,-190.34,-14.23,12.31,82.2
"Adam Larsson","ADAM.LARSSON","19-20","EDM","D","R",1992-11-12,26,47,78.42,15.05,18.38,16.41,13.49,10.21,0.87,4.91,16.77,74.46,19.93,101.53,22.01,141.11,1,8.79,-4.04,-57.69,-81.6,-119.1,-7.79,5.19,93.41
"Adam Lowry","ADAM.LOWRY","14-15","WPG","L","L",1993-03-29,21,80,50.32,27,25.53,24.09,20.88,21.26,1.18,3.19,10.3,30.05,13.53,42.63,14.61,55.35,1.25,4.63,-2.01,-19.75,-29.1,-40.74,-3.38,11.46,89.38
"Adam Lowry","ADAM.LOWRY","15-16","WPG","L","L",1993-03-29,22,73,154.17,4.87,10.35,8.91,8.26,7.52,0.93,18.16,19.16,165.96,22.27,227.68,27.18,301.78,1.75,21.51,-17.23,-146.8,-205.41,-274.6,-19.76,4.85,89.06
"Adam Lowry","ADAM.LOWRY","16-17","WPG","L","L",1993-03-29,23,80,179.33,19.44,13.86,13.03,11.11,11.49,5.76,23.87,27.35,170.04,35.37,236.07,40.85,326.83,3.04,23.42,-18.11,-142.69,-200.7,-285.98,-20.38,21.06,85.96
"Adam Lowry","ADAM.LOWRY","17-18","WPG","L","L",1993-03-29,24,45,91.13,18.03,24.83,20.83,19.39,15.41,2.12,9.64,26.06,78.88,29.22,111.03,32.64,135.67,1.73,9.5,-7.52,-52.82,-81.81,-103.03,-7.77,8.14,87.78
"Adam Lowry","ADAM.LOWRY","18-19","WPG","L","L",1993-03-29,25,75,175.83,18.7,12.77,12.45,10.28,11.48,3.92,17.04,24.84,169.63,32.33,227.36,34.61,302.11,2.67,20.59,-13.12,-144.79,-195.03,-267.5,-17.92,15.78,89.95
"Adam Lowry","ADAM.LOWRY","19-20","WPG","L","L",1993-03-29,26,48,107.42,13.36,16.51,14.08,11.89,15.72,2.01,13.04,19.82,100.22,23.2,141.54,25.23,186.96,2.19,11.74,-11.03,-80.4,-118.34,-161.73,-9.55,10.14,86.99
"Adam McQuaid","ADAM.MCQUAID","10-11","BOS","D","R",1986-10-12,23,67,95.78,34.4,14.77,15.41,13.86,21.27,3.99,7.61,12.93,74.64,19.72,108.27,25.88,160.82,2.34,8.66,-3.62,-61.71,-88.55,-134.94,-6.32,30.86,89.8
"Adam McQuaid","ADAM.MCQUAID","11-12","BOS","D","R",1986-10-12,24,69,74.6,11.07,18.36,19.35,19.02,16.14,0.87,6.99,11.16,49.61,17.5,72.94,22.78,96.97,1.08,5.61,-6.12,-38.45,-55.44,-74.19,-4.53,7.8,85.91
"Adam McQuaid","ADAM.MCQUAID","13-14","BOS","D","R",1986-10-12,26,29,54.38,9.88,22.88,20.35,18.4,14.23,0.88,8.03,12.32,41.53,14.87,58.19,18.43,81.72,0.7,4.22,-7.15,-29.21,-43.32,-63.29,-3.52,7.14,80.66
"Adam McQuaid","ADAM.MCQUAID","14-15","BOS","D","R",1986-10-12,27,61,118.5,6.18,16.96,17.73,13.76,11.53,0.99,15.03,17.67,86.49,27.91,129.54,29.9,187.4,1.54,11.82,-14.04,-68.82,-101.63,-157.5,-10.28,5.6,82.62
"Adam McQuaid","ADAM.MCQUAID","15-16","BOS","D","R",1986-10-12,28,61,154.63,18.66,20.89,16.96,14.83,14.59,4.16,18.13,27.8,105.29,36.3,177.67,42.29,242.9,2.39,13.99,-13.97,-77.49,-141.37,-200.61,-11.6,14.96,82.78
"Adam McQuaid","ADAM.MCQUAID","16-17","BOS","D","R",1986-10-12,29,77,182.83,17.6,19.66,16.81,14.05,11.56,3.74,17.51,31.34,128.1,39.61,195.96,46.7,285.58,2.37,18.14,-13.77,-96.76,-156.35,-238.88,-15.77,11.93,86.33
"Adam McQuaid","ADAM.MCQUAID","17-18","BOS","D","R",1986-10-12,30,36,77.6,26.03,12.19,10.63,9.37,6.97,1.01,2.87,9.73,70.1,11.75,98.76,13.77,133.25,0.59,7.87,-1.86,-60.37,-87.01,-119.48,-7.28,10.38,95.91
"Adam McQuaid","ADAM.MCQUAID","18-19","NYR","D","R",1986-10-12,31,36,80.3,15.74,14.74,14.54,13.19,10.78,1.87,10.01,12.4,71.75,15.52,91.2,18.1,119.11,1.13,9.35,-8.14,-59.35,-75.68,-101.01,-8.22,15.08,86.05
"Adam Pardy","ADAM.PARDY","08-09","CGY","D","L",1984-03-29,24,59,52.28,0,12.72,9.35,7.53,7.46,0,4.91,5.72,39.25,6.58,63.78,7.5,92.15,0.45,5.58,-4.91,-33.53,-57.2,-84.65,-5.13,0,87.49
"Adam Pardy","ADAM.PARDY","09-10","CGY","D","L",1984-03-29,25,55,64.98,0,18.07,13.97,14.39,12.72,0,6.22,11.55,52.36,11.54,71.09,15.35,91.31,0.71,4.87,-6.22,-40.81,-59.55,-75.96,-4.16,0,88.12
"Adam Pardy","ADAM.PARDY","13-14","WPG","D","L",1984-03-29,29,60,59.7,0,16.42,17.58,15.94,18.32,0,4.82,9.69,49.32,14.49,67.94,17.49,92.21,1.59,7.09,-4.82,-39.63,-53.45,-74.72,-5.5,0,90.23
"Adam Pardy","ADAM.PARDY","14-15","WPG","D","L",1984-03-29,30,55,132.32,16.33,14.98,16.52,13.87,11.53,2.12,10.86,21.36,121.26,28.55,144.3,32.75,203.43,2.23,17.11,-8.74,-99.9,-115.75,-170.68,-14.88,9.93,91.04
"Adam Pelech","ADAM.PELECH","17-18","NYI","D","L",1994-08-16,23,77,176.37,6.43,9.86,9.59,9.46,5.77,2.12,30.84,24.26,221.66,31.52,297.01,39.07,373.93,1.58,25.81,-28.72,-197.4,-265.49,-334.86,-24.23,8.74,86.09
"Adam Pelech","ADAM.PELECH","18-19","NYI","D","L",1994-08-16,24,77,123,5.44,8.03,7.75,6.35,4.75,1.01,17.56,10.39,119.03,12.47,148.5,13.52,199.41,0.74,14.83,-16.55,-108.64,-136.03,-185.89,-14.09,9.72,85.25
"Adam Pelech","ADAM.PELECH","19-20","NYI","D","L",1994-08-16,25,37,103.88,30.51,28.02,23.15,18.03,22.6,2.99,6.81,30.22,77.65,32.24,107.04,35.38,160.89,2.83,9.69,-3.82,-47.43,-74.8,-125.51,-6.86,9.89,91.23
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,75,128,5.52,19.22,17.62,17.18,14.68,1.08,18.47,24.78,104.18,29.78,139.22,34.88,168.16,2.15,12.5,-17.39,-79.4,-109.44,-133.28,-10.35,4.36,82.27
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,80,231.95,7.68,12.34,11.82,11.3,8.62,1.8,21.63,30.1,213.87,42.21,314.75,49.93,391.87,2.51,26.62,-19.83,-183.77,-272.54,-341.94,-24.11,5.98,89.89
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,82,219.58,0,12.18,11.65,13.06,10.3,0,21.09,28.48,205.44,38.2,289.83,54.05,359.69,2.87,24.99,-21.09,-176.96,-251.63,-305.64,-22.12,0,89.73
"Adrian Aucoin","ADRIAN.AUCOIN","10-11","ARI","D","R",1973-07-03,37,75,221.97,4.24,9.04,9.53,9.91,6.09,1.18,26.65,23.42,235.63,35.03,332.44,45.83,416.52,1.9,29.28,-25.47,-212.21,-297.41,-370.69,-27.38,5.04,88.69
"Adrian Aucoin","ADRIAN.AUCOIN","11-12","ARI","D","R",1973-07-03,38,64,133.45,5.36,14.27,14.55,14.43,9.39,0.93,16.41,22.05,132.44,30.11,176.79,36.82,218.41,1.56,15.05,-15.48,-110.39,-146.68,-181.59,-13.49,4.22,87.61
"Adrian Aucoin","ADRIAN.AUCOIN","12-13","CBJ","D","R",1973-07-03,39,35,54.2,0,16.3,16.1,13.98,10.87,0,2.05,6.99,35.89,9.88,51.49,10.74,66.08,0.5,4.1,-2.05,-28.9,-41.61,-55.34,-3.6,0,94.29
"Adrian Kempe","ADRIAN.KEMPE","19-20","L.A","L","L",1996-09-13,23,69,62.85,50.19,27.55,21.58,19.7,15.69,3.94,3.91,17.62,46.34,18.56,67.45,20.63,84.09,1.13,6.07,0.03,-28.72,-48.89,-63.46,-4.94,22.36,91.56
"Alec Martinez","ALEC.MARTINEZ","14-15","L.A","D","L",1987-07-26,27,55,87.83,13.8,29.06,22.2,14.84,19.06,1.01,6.31,17.64,43.06,21.41,75.04,21.34,122.47,1.42,6.03,-5.3,-25.42,-53.63,-101.13,-4.61,5.73,85.35
"Alec Martinez","ALEC.MARTINEZ","15-16","L.A","D","L",1987-07-26,28,77,175.02,15.45,11.1,9.1,9.12,6.83,3.08,16.86,18.91,151.42,22.32,223.07,29.93,298.29,1.52,20.75,-13.78,-132.51,-200.75,-268.36,-19.23,16.29,88.87
"Alec Martinez","ALEC.MARTINEZ","16-17","L.A","D","L",1987-07-26,29,81,178.98,7.29,18.59,17.64,14.68,16.53,0.93,11.82,25.74,112.75,38.25,178.62,45.15,262.38,3.25,16.41,-10.89,-87.01,-140.37,-217.23,-13.16,3.61,89.52
"Alec Martinez","ALEC.MARTINEZ","17-18","L.A","D","L",1987-07-26,30,77,181.22,10.39,20.26,17.31,13.47,10.67,1.99,17.16,37.95,149.39,43.61,208.33,48.25,309.91,2.69,22.52,-15.17,-111.44,-164.72,-261.66,-19.83,5.24,88.51
"Alec Martinez","ALEC.MARTINEZ","18-19","L.A","D","L",1987-07-26,31,60,112.47,0,15.39,14.83,12.05,10.15,0,12.21,16.98,93.36,24.54,140.95,26.28,191.85,1.35,11.95,-12.21,-76.38,-116.41,-165.57,-10.6,0,86.92
"Alec Martinez","ALEC.MARTINEZ","19-20","L.A","D","L",1987-07-26,32,41,73.7,13.35,26.72,20.46,17.28,13.6,1.93,12.53,23,63.08,24.68,95.92,28.96,138.61,1.56,9.91,-10.6,-40.08,-71.24,-109.65,-8.35,8.39,80.14
"Aleksander Barkov","ALEKSANDER.BARKOV","15-16","FLA","C","L",1995-09-02,20,65,115.05,6.72,11.87,10.59,10.09,10.91,0.99,13.75,13.3,98.79,16.61,140.18,19.88,177.09,1.4,11.43,-12.76,-85.49,-123.57,-157.21,-10.03,7.44,86.08
"Aleksander Barkov","ALEKSANDER.BARKOV","16-17","FLA","C","L",1995-09-02,21,60,75.88,0,13.38,13.87,16.12,10.1,0,5.48,8.59,55.61,11.86,73.64,16.85,87.68,0.71,6.32,-5.48,-47.02,-61.78,-70.83,-5.61,0,90.15
"Aleksander Barkov","ALEKSANDER.BARKOV","17-18","FLA","C","L",1995-09-02,22,73,136.37,36.62,18.17,18.44,16.41,19.7,4.01,6.94,33.45,150.69,45.07,199.31,48.11,245.11,4.07,16.59,-2.93,-117.24,-154.24,-197,-12.52,11.99,95.39
"Aleksander Barkov","ALEKSANDER.BARKOV","18-19","FLA","C","L",1995-09-02,23,80,167.8,4.69,23.69,19.9,17.34,15.14,0.99,20.11,41.88,134.92,49.78,200.41,54.34,258.99,3.36,18.83,-19.12,-93.04,-150.63,-204.65,-15.47,2.36,85.09
"Aleksander Barkov","ALEKSANDER.BARKOV","19-20","FLA","C","L",1995-09-02,24,64,72.83,28.29,21.17,20.25,19.35,19.99,2,5.07,19.9,74.11,25.45,100.25,29.49,122.94,2.7,10.81,-3.07,-54.21,-74.8,-93.45,-8.11,10.05,93.16
"Alex Biega","ALEX.BIEGA","15-16","VAN","D","R",1988-04-04,27,50,54.42,0,14.59,12.59,11.36,12.28,0,3.59,9.91,58.02,9.93,68.93,10.88,84.9,0.84,6,-3.59,-48.11,-59,-74.02,-5.16,0,93.81
"Alex Biega","ALEX.BIEGA","19-20","DET","D","R",1988-04-04,31,47,83.13,8.41,21.68,20.13,19.25,15.98,1.08,11.76,19.75,71.35,21.48,85.22,24.25,101.74,1.62,8.52,-10.68,-51.6,-63.74,-77.49,-6.9,5.47,83.52
"Alex Burmistrov","ALEX.BURMISTROV","10-11","ATL","C","L",1991-10-21,18,73,84.35,8.89,12.63,11.13,11.54,8.75,0.99,10.14,11.02,76.24,12.96,103.45,17.94,137.52,1.01,10.53,-9.15,-65.22,-90.49,-119.58,-9.52,8.98,86.7
"Alex Burmistrov","ALEX.BURMISTROV","11-12","WPG","C","L",1991-10-21,19,75,135.5,13.49,18.37,19.57,16.52,19.57,1.87,11.99,22.27,98.99,33.54,137.85,36.45,184.13,3,12.33,-10.12,-76.72,-104.31,-147.68,-9.33,8.4,87.89
"Alex Burmistrov","ALEX.BURMISTROV","12-13","WPG","C","L",1991-10-21,20,43,66.8,0,25.94,24.66,20.66,18.78,0,5.12,16.98,48.48,20.68,63.19,23.65,90.81,1.35,5.84,-5.12,-31.5,-42.51,-67.16,-4.49,0,89.44
"Alex Burmistrov","ALEX.BURMISTROV","15-16","WPG","C","L",1991-10-21,23,80,162.5,5.1,9.82,9.9,8.78,7.09,1.01,18.8,15.97,146.72,22.21,202.13,27.39,284.43,1.42,18.6,-17.79,-130.75,-179.92,-257.04,-17.18,6.32,87.19
"Alex Burrows","ALEX.BURROWS","07-08","VAN","L","L",1981-04-11,26,82,241.65,14.24,11.1,8.78,8.25,5.89,3.99,24.02,25.73,206.13,27.66,287.25,33,366.8,1.7,27.16,-20.03,-180.4,-259.59,-333.8,-25.46,15.51,88.35
"Alex Burrows","ALEX.BURROWS","08-09","VAN","L","L",1981-04-11,27,80,234.12,21.78,17.16,16.56,14.6,18.21,6.19,22.23,31.66,152.85,44.03,221.82,49.25,288.04,4.8,21.56,-16.04,-121.19,-177.79,-238.79,-16.76,19.55,85.46
"Alex Burrows","ALEX.BURROWS","09-10","VAN","L","L",1981-04-11,28,82,193.13,34.06,16.45,13.98,11.75,16.42,6.85,13.26,30.04,152.52,35.29,217.09,38.48,288.9,3.7,18.83,-6.41,-122.48,-181.8,-250.42,-15.13,22.8,91.31
"Alex Burrows","ALEX.BURROWS","10-11","VAN","L","L",1981-04-11,29,72,160.65,16.44,16.52,17.94,18.14,15,1.8,9.15,26.89,135.85,40.33,184.47,51.2,231.09,2.8,15.87,-7.35,-108.96,-144.14,-179.89,-13.07,6.69,93.26
"Alex Burrows","ALEX.BURROWS","11-12","VAN","L","L",1981-04-11,30,79,148.37,21.43,14.24,16.18,16.92,12.81,3,11,21.72,130.85,31.09,161.09,41.65,204.49,2.24,15.25,-8,-109.13,-130,-162.84,-13.01,13.81,91.59
"Alex Burrows","ALEX.BURROWS","12-13","VAN","L","L",1981-04-11,31,47,93.62,0,13.92,15.05,11.78,15.64,0,11.07,10.7,66.16,16.11,90.92,17.19,128.73,1.67,9.01,-11.07,-55.46,-74.81,-111.54,-7.34,0,83.27
"Alex Burrows","ALEX.BURROWS","13-14","VAN","L","L",1981-04-11,32,49,89.5,12.38,16.75,14.55,12.44,11.79,1.01,7.15,13.55,67.36,17.52,102.9,20.17,141.94,1.17,8.75,-6.14,-53.81,-85.38,-121.77,-7.58,7.45,89.39
"Alex Burrows","ALEX.BURROWS","14-15","VAN","L","L",1981-04-11,33,68,84.2,12.72,19.83,15.87,13.24,12.81,1.01,6.93,14.87,60.1,15.92,84.38,19.12,125.26,1.14,7.76,-5.92,-45.23,-68.46,-106.14,-6.62,6.79,88.47
"Alex Burrows","ALEX.BURROWS","15-16","VAN","L","L",1981-04-11,34,78,135.62,5.41,10.57,11.84,11.63,8.1,0.87,15.21,13.76,116.36,20.64,153.72,24.55,186.46,1.24,14.07,-14.34,-102.6,-133.08,-161.91,-12.83,6.32,86.93
"Alex Burrows","ALEX.BURROWS","16-17","VAN","L","L",1981-04-11,35,55,84.92,6.32,11.38,10.38,9.39,8.45,0.99,14.67,12.49,97.26,15.31,132.25,16.29,157.18,1.12,12.14,-13.68,-84.77,-116.94,-140.89,-11.02,7.93,84.92
"Alex Burrows","ALEX.BURROWS","17-18","OTT","L","L",1981-04-11,36,71,55.47,0,21.25,20.21,15.91,9.46,0,9.57,15.09,55.93,18.14,71.63,18.09,95.61,0.75,7.18,-9.57,-40.84,-53.49,-77.52,-6.43,0,82.89
"Alex Chiasson","ALEX.CHIASSON","14-15","OTT","R","R",1990-10-01,23,74,64.2,16.56,19.31,16.38,12.17,10.46,1.01,5.09,10.31,43.09,11.38,58.11,11.37,82.07,0.55,4.71,-4.08,-32.78,-46.73,-70.7,-4.16,9.8,88.19
