"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Aaron Ness","AARON.NESS","17-18","WSH","D","L",1990-05-18,27,8,94.7,0,0,1,1,2,2,3,0.02,0,0,1,8,2,1,1,14,4,0,0,0,-4,0,0,0
"Aaron Ness","AARON.NESS","19-20","ARI","D","L",1990-05-18,29,24,292.63,0,1,0,1,11,19,27,0.29,0,0,1.53,19,7,1,16,49,0,4,0,0,4,0,0,0
"Aaron Palushaj","AARON.PALUSHAJ","11-12","MTL","R","R",1989-09-07,22,38,282.68,1,1,3,5,37,50,69,2.41,2.7,2,4.82,11,5,9,28,50,3,8,0,0,5,0,4,-4
"Aaron Palushaj","AARON.PALUSHAJ","12-13","COL","R","R",1989-09-07,23,25,263.12,2,3,4,9,27,35,46,1.71,7.41,5.71,4.89,12,5,8,32,33,2,9,0,0,7,2,5,-3
"Aaron Rome","AARON.ROME","07-08","CBJ","D","L",1983-09-27,23,17,259.82,1,0,1,2,13,21,29,0.4,7.69,4.76,1.9,16,4,2,32,22,4,2,3,3,-2,0,0,0
"Aaron Rome","AARON.ROME","08-09","CBJ","D","L",1983-09-27,24,8,113.35,0,1,0,1,6,10,13,0.14,0,0,1.4,5,1,1,12,11,0,0,0,0,0,0,0,0
"Aaron Rome","AARON.ROME","09-10","VAN","D","L",1983-09-27,25,49,678.53,0,1,3,4,42,62,108,1.48,0,0,2.39,44,15,6,56,76,7,3,2,1,-5,0,0,0
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,846.1,0,1,0,1,44,67,98,2.06,0,0,3.07,52,17,12,77,104,16,2,1,1,-14,0,0,0
"Aaron Rome","AARON.ROME","11-12","VAN","D","L",1983-09-27,27,43,598.7,3,1,3,7,35,61,95,1.49,8.57,4.92,2.44,56,12,4,63,78,10,6,2,1,-5,0,0,0
"Aaron Rome","AARON.ROME","12-13","DAL","D","L",1983-09-27,28,27,366.13,0,3,1,4,13,19,38,0.41,0,0,2.16,27,7,2,42,43,9,4,0,0,-5,0,0,0
"Aaron Rome","AARON.ROME","13-14","DAL","D","L",1983-09-27,29,25,299.92,0,1,0,1,15,22,36,0.51,0,0,2.32,34,12,2,19,41,2,0,1,1,-2,0,0,0
"Aaron Volpatti","AARON.VOLPATTI","10-11","VAN","L","L",1985-05-30,25,15,97.28,1,1,0,2,6,7,11,0.4,16.67,14.29,5.71,3,0,0,35,18,3,1,2,2,-2,0,0,0
"Aaron Volpatti","AARON.VOLPATTI","11-12","VAN","L","L",1985-05-30,26,23,202.92,1,0,0,1,17,23,35,1.35,5.88,4.35,5.87,8,3,1,61,38,4,3,5,5,-1,4,0,4
"Aaron Volpatti","AARON.VOLPATTI","12-13","VAN","L","L",1985-05-30,27,16,114.73,1,0,0,1,10,14,20,0.72,10,7.14,5.14,3,2,1,42,23,4,2,4,4,-2,0,2,-2
"Aaron Volpatti","AARON.VOLPATTI","12-13","WSH","L","L",1985-05-30,27,17,156.35,0,1,0,1,10,17,21,1.08,0,0,6.35,7,3,3,38,35,1,1,1,1,0,1,1,0
"Aaron Volpatti","AARON.VOLPATTI","13-14","WSH","L","L",1985-05-30,28,41,299.48,2,0,0,2,18,27,39,2.02,11.11,7.41,7.48,10,1,6,77,55,6,2,5,5,-4,4,8,-4
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,422.58,7,5,1,13,42,55,69,4.17,16.67,12.73,7.58,5,8,8,91,62,21,13,15,14,-9,2,10,-8
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,511.88,5,6,2,13,50,72,84,5.77,10,6.94,8.01,7,10,5,108,73,20,16,9,8,-5,4,6,-2
"Aaron Voros","AARON.VOROS","09-10","NYR","L","L",1981-07-02,28,41,249.15,2,4,0,6,21,27,36,1.59,9.52,7.41,5.89,11,0,2,56,45,9,6,13,13,-3,3,3,0
"Aaron Voros","AARON.VOROS","10-11","ANA","L","L",1981-07-02,29,12,66.32,0,0,0,0,8,9,10,0.58,0,0,6.44,1,0,1,12,16,4,3,4,4,-1,2,1,1
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,1051.48,5,2,3,10,51,81,115,1.51,9.8,6.17,1.86,81,18,5,124,75,20,10,0,0,-10,0,0,0
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,1034.47,2,2,3,7,47,76,115,1.64,4.26,2.63,2.16,98,17,5,131,84,17,3,0,0,-14,0,0,0
"Aaron Ward","AARON.WARD","09-10","ANA","D","R",1973-01-17,36,17,216.15,0,0,1,1,9,14,25,0.48,0,0,3.43,20,2,2,35,14,2,0,0,0,-2,0,0,0
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,903.12,1,1,7,9,27,42,82,0.83,3.7,2.38,1.98,91,19,10,117,81,20,9,0,0,-11,0,0,0
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,563.95,4,4,3,11,36,51,81,1.93,11.11,7.84,3.78,41,26,10,31,58,3,9,0,0,6,0,0,0
"Adam Brooks","ADAM.BROOKS","19-20","TOR","C","L",1996-05-06,23,7,51.6,0,2,1,3,2,4,5,0.37,0,0,9.25,1,1,2,0,6,0,1,0,0,1,4,5,-1
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,682.63,3,3,1,7,62,71,80,5.16,4.84,4.23,7.27,24,6,7,85,79,21,24,15,15,3,76,92,-16
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,476.43,6,2,1,9,77,88,97,7.01,7.79,6.82,7.97,15,1,7,44,73,17,17,5,5,0,36,52,-16
"Adam Burish","ADAM.BURISH","09-10","CHI","R","R",1983-01-06,26,13,112.07,1,2,1,4,9,16,19,0.85,11.11,6.25,5.31,9,2,2,9,12,2,4,2,2,2,6,13,-7
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,754.28,7,3,3,13,82,111,130,7.35,8.54,6.31,6.62,47,13,12,76,103,17,17,3,2,-1,185,150,35
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,65,693.18,5,6,5,16,75,103,126,6.19,6.67,4.85,6.01,15,10,12,68,78,12,14,0,0,2,162,121,41
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,46,422.57,0,1,1,2,37,55,71,3.18,0,0,5.78,25,10,3,64,47,7,16,1,1,9,98,95,3
"Adam Burish","ADAM.BURISH","13-14","S.J","R","R",1983-01-06,30,15,125.27,0,0,0,0,9,16,18,1.05,0,0,6.56,8,1,2,23,17,3,0,0,0,-3,33,34,-1
"Adam Burish","ADAM.BURISH","14-15","S.J","R","R",1983-01-06,31,20,190.88,1,2,0,3,20,26,33,0.94,5,3.85,3.62,12,2,4,11,25,7,7,1,1,0,44,41,3
"Adam Clendening","ADAM.CLENDENING","14-15","VAN","D","R",1992-10-26,21,17,262.68,0,0,1,1,14,23,34,0.5,0,0,2.17,17,12,2,8,32,3,0,0,0,-3,0,0,0
"Adam Clendening","ADAM.CLENDENING","15-16","EDM","D","R",1992-10-26,22,20,286.9,1,1,4,6,30,43,55,1.26,3.33,2.33,2.93,27,14,2,15,38,5,2,0,0,-3,0,0,0
"Adam Clendening","ADAM.CLENDENING","15-16","PIT","D","R",1992-10-26,22,9,112.28,0,0,1,1,11,13,20,0.2,0,0,1.54,3,2,3,4,16,4,2,0,0,-2,0,0,0
"Adam Clendening","ADAM.CLENDENING","16-17","NYR","D","R",1992-10-26,23,31,438.05,1,2,6,9,34,50,76,0.84,2.94,2,1.68,26,18,6,20,64,6,4,1,1,-2,0,0,0
"Adam Clendening","ADAM.CLENDENING","17-18","ARI","D","R",1992-10-26,24,5,76.33,0,0,2,2,4,8,11,0.11,0,0,1.38,6,3,0,2,5,1,0,0,0,-1,0,0,0
"Adam Cracknell","ADAM.CRACKNELL","10-11","STL","R","R",1985-07-15,25,24,206.52,3,3,1,7,23,35,44,1.99,13.04,8.57,5.69,7,1,7,29,20,3,2,0,0,-1,46,69,-23
"Adam Cracknell","ADAM.CRACKNELL","12-13","STL","R","R",1985-07-15,27,20,170.95,2,2,2,6,21,29,39,1.57,9.52,6.9,5.41,7,1,6,22,29,2,2,0,0,0,6,19,-13
"Adam Cracknell","ADAM.CRACKNELL","13-14","STL","R","R",1985-07-15,28,19,150.85,0,1,1,2,16,23,28,1.16,0,0,5.04,8,0,3,33,26,0,2,0,0,2,10,17,-7
"Adam Cracknell","ADAM.CRACKNELL","14-15","CBJ","R","R",1985-07-15,29,17,157.73,0,1,0,1,16,24,27,0.95,0,0,3.96,6,3,4,42,21,1,1,0,0,0,19,36,-17
"Adam Cracknell","ADAM.CRACKNELL","15-16","EDM","R","R",1985-07-15,30,8,83.95,0,0,0,0,12,15,17,1.47,0,0,9.8,3,1,3,30,10,2,0,0,0,-2,4,9,-5
"Adam Cracknell","ADAM.CRACKNELL","15-16","VAN","R","R",1985-07-15,30,44,505.15,5,4,1,10,54,75,99,4.02,9.26,6.67,5.36,21,11,20,92,50,6,7,0,0,1,141,206,-65
"Adam Cracknell","ADAM.CRACKNELL","16-17","DAL","R","R",1985-07-15,31,69,677.6,9,3,3,15,79,117,158,6.61,11.39,7.69,5.65,36,15,19,90,50,5,13,0,0,8,128,150,-22
"Adam Erne","ADAM.ERNE","16-17","T.B","L","L",1995-04-20,21,26,278.82,3,0,0,3,36,53,60,2.88,8.33,5.66,5.43,13,5,2,69,22,3,4,1,1,1,0,1,-1
"Adam Erne","ADAM.ERNE","17-18","T.B","L","L",1995-04-20,22,23,229.85,3,0,1,4,29,42,49,2.54,10.34,7.14,6.05,7,4,4,37,20,2,3,1,1,1,5,3,2
"Adam Erne","ADAM.ERNE","18-19","T.B","L","L",1995-04-20,23,65,631.37,5,5,7,17,60,93,123,5.63,8.33,5.38,6.05,24,8,15,157,53,9,7,2,2,-2,7,8,-1
"Adam Erne","ADAM.ERNE","19-20","DET","L","L",1995-04-20,24,56,599.72,2,3,0,5,58,75,100,4.81,3.45,2.67,6.41,25,27,5,139,29,8,5,0,0,-3,19,11,8
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,1162.62,0,2,5,7,47,73,97,1.49,0,0,2.04,79,5,13,58,55,22,10,1,1,-12,0,0,0
"Adam Foote","ADAM.FOOTE","07-08","COL","D","R",1971-07-10,36,12,199.3,0,0,1,1,9,10,21,0.46,0,0,4.6,17,7,3,13,7,6,2,0,0,-4,0,0,0
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,42,661.72,1,1,5,7,17,26,40,0.84,5.88,3.85,3.23,50,24,13,42,41,13,1,0,1,-11,0,0,0
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,1093.4,0,2,3,5,25,46,76,1.05,0,0,2.28,80,19,7,89,57,20,10,0,1,-9,0,0,0
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,695.63,0,2,5,7,22,28,40,0.96,0,0,3.43,52,13,4,43,31,9,8,1,1,-1,0,0,0
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,70,1149.98,6,12,6,24,98,137,192,5.75,6.12,4.38,4.2,84,51,52,33,89,10,6,0,0,-4,0,0,0
"Adam Gaudette","ADAM.GAUDETTE","17-18","VAN","C","R",1996-10-03,20,5,59.87,0,0,0,0,9,14,20,0.66,0,0,4.71,3,4,1,2,6,0,0,0,0,0,6,9,-3
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,56,534.08,5,3,2,10,46,67,92,4.27,10.87,7.46,6.37,15,6,10,48,50,9,14,0,0,5,137,206,-69
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,59,630.95,7,6,6,19,59,92,121,6.4,11.86,7.61,6.96,18,13,21,29,43,11,9,1,1,-2,159,222,-63
"Adam Hall","ADAM.HALL","07-08","PIT","R","R",1980-08-14,27,46,381.07,2,1,2,5,35,49,54,2.55,5.71,4.08,5.2,17,1,5,42,27,5,8,2,2,3,85,87,-2
"Adam Hall","ADAM.HALL","08-09","T.B","R","R",1980-08-14,28,74,625.88,4,3,1,8,80,105,130,6.31,5,3.81,6.01,19,5,15,80,65,3,15,3,3,12,115,90,25
"Adam Hall","ADAM.HALL","10-11","T.B","R","R",1980-08-14,30,82,953.9,7,6,2,15,156,205,232,13.47,4.49,3.41,6.57,40,12,12,148,109,8,18,2,2,10,264,184,80
"Adam Hall","ADAM.HALL","11-12","T.B","R","R",1980-08-14,31,57,502.42,2,4,1,7,58,75,82,4.34,3.45,2.67,5.79,15,4,8,87,39,4,6,1,1,2,185,116,69
"Adam Hall","ADAM.HALL","12-13","CAR","R","R",1980-08-14,32,6,56.57,0,0,0,0,3,6,9,0.31,0,0,5.17,4,1,1,19,2,0,0,0,0,0,1,5,-4
"Adam Hall","ADAM.HALL","12-13","PHI","R","R",1980-08-14,32,11,92.22,0,0,0,0,12,18,19,0.95,0,0,5.28,6,2,3,11,10,0,1,0,0,1,23,16,7
"Adam Hall","ADAM.HALL","12-13","T.B","R","R",1980-08-14,32,20,160.53,0,2,1,3,15,18,19,0.83,0,0,4.61,6,3,6,28,16,2,4,1,1,2,70,51,19
"Adam Hall","ADAM.HALL","13-14","PHI","R","R",1980-08-14,33,80,539.57,2,2,2,6,49,65,83,3.7,4.08,3.08,5.69,24,5,11,72,59,8,4,1,1,-4,201,117,84
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,74,1080.32,12,12,12,36,102,125,146,11.01,11.76,9.6,8.81,40,20,37,81,52,0,12,1,1,12,402,435,-33
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,565.88,5,3,0,8,54,79,96,6.47,9.26,6.33,8.19,11,7,17,26,31,7,7,0,0,0,259,249,10
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,1030.8,15,5,6,26,94,127,161,11.57,15.96,11.81,9.11,39,22,37,66,65,7,15,0,0,8,285,368,-83
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,75,1030.48,10,7,6,23,107,132,184,10.27,9.35,7.58,7.78,36,15,27,55,71,10,8,0,0,-2,191,166,25
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,80,1112.23,19,3,10,32,109,137,171,11.88,17.43,13.87,8.67,38,20,27,54,67,7,11,1,1,4,454,568,-114
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,82,1071.28,11,9,6,26,104,146,188,12.11,10.58,7.53,8.29,49,19,33,78,78,12,14,0,0,2,437,480,-43
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,57,772.4,12,6,4,22,64,96,125,8.02,18.75,12.5,8.35,40,20,20,42,46,4,6,0,0,2,283,319,-36
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,24,295.25,2,3,1,6,37,46,59,4.17,5.41,4.35,9.07,9,3,11,15,23,3,3,0,0,0,99,99,0
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,82,1035.15,10,10,6,26,85,132,155,10.5,11.76,7.58,7.95,61,21,30,69,64,9,11,0,0,2,432,385,47
"Adam Henrique","ADAM.HENRIQUE","19-20","ANA","C","L",1990-02-06,29,71,947.27,17,9,4,30,123,183,214,13.49,13.82,9.29,7.37,28,27,20,67,35,8,10,0,0,2,399,348,51
"Adam Larsson","ADAM.LARSSON","11-12","N.J","D","R",1992-11-12,18,65,1194.55,2,5,4,11,59,79,124,1.81,3.39,2.53,2.29,63,36,11,87,103,9,4,0,0,-5,0,0,0
"Adam Larsson","ADAM.LARSSON","12-13","N.J","D","R",1992-11-12,19,37,615.88,0,3,3,6,30,40,67,0.78,0,0,1.95,38,19,17,36,61,6,5,0,0,-1,0,0,0
"Adam Larsson","ADAM.LARSSON","13-14","N.J","D","R",1992-11-12,20,26,424.52,1,2,0,3,19,30,51,0.5,5.26,3.33,1.67,32,10,4,39,36,5,3,0,0,-2,0,0,0
"Adam Larsson","ADAM.LARSSON","14-15","N.J","D","R",1992-11-12,21,64,1100.03,3,8,9,20,85,117,169,2.99,3.53,2.56,2.56,87,27,15,80,95,13,6,0,0,-7,0,0,0
"Adam Larsson","ADAM.LARSSON","15-16","N.J","D","R",1992-11-12,22,82,1520.95,2,6,7,15,62,99,150,2.88,3.23,2.02,2.91,107,21,19,148,155,20,4,3,2,-17,0,0,0
"Adam Larsson","ADAM.LARSSON","16-17","EDM","D","R",1992-11-12,23,79,1428.68,4,2,11,17,81,119,195,2.81,4.94,3.36,2.36,127,67,25,233,143,19,5,0,0,-14,0,0,0
"Adam Larsson","ADAM.LARSSON","17-18","EDM","D","R",1992-11-12,24,63,1211.13,4,2,6,12,86,124,186,3.88,4.65,3.23,3.13,110,41,19,218,101,15,5,0,0,-10,0,0,0
"Adam Larsson","ADAM.LARSSON","18-19","EDM","D","R",1992-11-12,25,82,1577.52,3,6,8,17,111,164,237,3.82,2.7,1.83,2.33,108,62,23,235,129,16,5,0,0,-11,0,0,0
"Adam Larsson","ADAM.LARSSON","19-20","EDM","D","R",1992-11-12,26,49,871.58,1,2,3,6,60,93,126,2.24,1.67,1.08,2.41,67,31,16,104,65,10,1,1,0,-10,0,0,0
"Adam Lowry","ADAM.LOWRY","14-15","WPG","L","L",1993-03-29,21,80,996.52,10,7,1,18,96,130,166,11.61,10.42,7.69,8.93,28,13,22,250,120,12,12,2,1,-1,368,415,-47
"Adam Lowry","ADAM.LOWRY","15-16","WPG","L","L",1993-03-29,22,74,855.75,7,5,4,16,67,87,114,7.75,10.45,8.05,8.91,35,15,24,175,60,12,8,3,3,-4,310,355,-45
"Adam Lowry","ADAM.LOWRY","16-17","WPG","L","L",1993-03-29,23,82,970.97,9,5,4,18,91,122,154,10.77,9.89,7.38,8.83,38,18,21,198,103,10,10,2,2,0,480,454,26
"Adam Lowry","ADAM.LOWRY","17-18","WPG","L","L",1993-03-29,24,45,536.42,7,8,4,19,58,75,89,5.71,12.07,9.33,7.61,23,3,18,114,54,3,7,0,0,4,310,216,94
"Adam Lowry","ADAM.LOWRY","18-19","WPG","L","L",1993-03-29,25,78,943,11,4,4,19,95,135,167,11.13,11.58,8.15,8.24,35,19,38,214,103,7,13,3,3,6,494,348,146
"Adam Lowry","ADAM.LOWRY","19-20","WPG","L","L",1993-03-29,26,49,603.53,2,2,3,7,60,77,98,5.01,3.33,2.6,6.51,16,8,23,130,65,4,2,3,3,-2,278,219,59
"Adam Mair","ADAM.MAIR","07-08","BUF","C","R",1979-02-15,28,71,596.53,5,6,6,17,56,71,90,4.97,8.93,7.04,7,15,16,12,109,52,19,15,4,4,-4,158,188,-30
"Adam Mair","ADAM.MAIR","08-09","BUF","C","R",1979-02-15,29,75,766.88,8,6,5,19,75,108,130,6.84,10.67,7.41,6.33,20,21,19,107,67,21,9,5,5,-12,191,201,-10
"Adam Mair","ADAM.MAIR","09-10","BUF","C","R",1979-02-15,30,69,624.5,6,4,3,13,67,86,104,5.55,8.96,6.98,6.45,13,18,10,95,49,18,11,2,2,-7,90,83,7
"Adam Mair","ADAM.MAIR","10-11","N.J","C","R",1979-02-15,31,65,556.37,1,2,1,4,57,76,89,4.76,1.75,1.32,6.26,15,9,12,61,45,8,8,5,5,0,53,51,2
"Adam McQuaid","ADAM.MCQUAID","09-10","BOS","D","R",1986-10-12,22,19,196.65,1,0,0,1,10,19,25,0.29,10,5.26,1.53,16,5,2,29,32,3,2,3,3,-1,0,0,0
"Adam McQuaid","ADAM.MCQUAID","10-11","BOS","D","R",1986-10-12,23,67,891.78,3,6,6,15,46,62,123,1.72,6.52,4.84,2.77,108,14,5,97,95,10,9,12,14,1,0,0,0
"Adam McQuaid","ADAM.MCQUAID","11-12","BOS","D","R",1986-10-12,24,72,994.9,2,2,6,10,63,89,155,1.56,3.17,2.25,1.75,90,17,7,100,106,16,11,7,7,-5,0,0,0
"Adam McQuaid","ADAM.MCQUAID","12-13","BOS","D","R",1986-10-12,25,32,436.77,1,1,1,3,25,36,62,0.99,4,2.78,2.75,40,7,3,61,54,12,8,6,6,-4,0,0,0
"Adam McQuaid","ADAM.MCQUAID","13-14","BOS","D","R",1986-10-12,26,30,424.05,1,2,3,6,25,31,56,0.51,4,3.23,1.65,35,9,1,53,38,12,4,7,7,-8,0,0,0
"Adam McQuaid","ADAM.MCQUAID","14-15","BOS","D","R",1986-10-12,27,63,1022.48,1,2,3,6,57,80,129,1.45,1.75,1.25,1.81,74,20,5,131,131,21,11,5,7,-8,0,1,-1
"Adam McQuaid","ADAM.MCQUAID","15-16","BOS","D","R",1986-10-12,28,64,979.63,1,3,3,7,42,59,104,1.08,2.38,1.69,1.83,89,27,7,128,88,22,13,5,5,-9,0,0,0
"Adam McQuaid","ADAM.MCQUAID","16-17","BOS","D","R",1986-10-12,29,77,1198.63,2,3,3,8,59,89,130,1.69,3.39,2.25,1.9,99,21,9,145,112,14,11,5,5,-3,0,0,0
"Adam McQuaid","ADAM.MCQUAID","17-18","BOS","D","R",1986-10-12,30,38,511.03,1,0,3,4,39,53,74,0.95,2.56,1.89,1.79,39,10,5,74,55,7,1,6,6,-6,0,0,0
"Adam McQuaid","ADAM.MCQUAID","18-19","CBJ","D","R",1986-10-12,31,14,152.67,1,0,1,2,9,14,19,0.24,11.11,7.14,1.71,11,5,1,23,19,2,4,1,1,2,0,0,0
"Adam McQuaid","ADAM.MCQUAID","18-19","NYR","D","R",1986-10-12,31,36,536.6,2,1,1,4,18,34,52,0.75,11.11,5.88,2.21,57,13,8,88,42,11,3,1,1,-8,0,0,0
"Adam Pardy","ADAM.PARDY","08-09","CGY","D","L",1984-03-29,24,59,812.8,1,3,6,10,35,58,87,1.18,2.86,1.72,2.03,38,20,18,75,113,22,9,1,1,-13,0,0,0
"Adam Pardy","ADAM.PARDY","09-10","CGY","D","L",1984-03-29,25,57,818.77,2,4,3,9,36,57,94,0.86,5.56,3.51,1.51,51,27,14,51,106,18,10,2,2,-8,0,0,0
