"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,904.03,0.53,0.2,0.2,0.93,5.91,8.03,9.42,0.55,8.99,6.61,6.85,4.65,0.86,0.93,5.11,7.04,1.19,1.19,0.2,0.13,-0.07,16.92,14.73,2.19
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,65,831.22,0.43,0.51,0.43,1.37,5.92,8.16,10.11,0.52,7.32,5.31,6.33,2.6,0.94,1.23,4.98,5.7,1.3,1.15,0,0,-0.14,15.66,12.42,3.25
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,46,486.2,0.12,0.12,0.12,0.37,4.81,7.03,9.13,0.45,2.56,1.75,6.4,4.07,1.23,0.49,8.02,5.92,1.23,2.22,0.12,0.12,0.99,15.06,13.08,1.97
"Adam Burish","ADAM.BURISH","13-14","S.J","R","R",1983-01-06,30,15,144.3,0,0,0,0,3.74,6.65,7.48,0.44,0,0,6.56,3.74,0.42,0.83,9.56,7.07,1.25,0.42,0,0,-0.83,16.22,14.97,1.25
"Adam Burish","ADAM.BURISH","14-15","S.J","R","R",1983-01-06,31,20,222.9,0.27,0.54,0,0.81,5.92,8.34,10.23,0.35,4.55,3.23,4.23,5.11,0.54,1.08,2.96,6.73,2.42,1.88,0.27,0.27,-0.54,15.34,13.46,1.88
"Adam Clendening","ADAM.CLENDENING","14-15","CHI","D","R",1992-10-26,21,4,52.68,1.14,0,1.14,2.28,2.28,4.56,11.39,0.17,50,25,3.75,5.69,2.28,0,1.14,4.56,1.14,1.14,0,0,0,0,0,0
"Adam Clendening","ADAM.CLENDENING","14-15","VAN","D","R",1992-10-26,21,17,296.7,0,0.2,0.2,0.4,3.03,5.26,7.89,0.13,0,0,2.42,3.44,2.43,0.4,1.62,6.67,0.81,0,0,0,-0.81,0,0,0
"Adam Clendening","ADAM.CLENDENING","15-16","EDM","D","R",1992-10-26,22,20,310.9,0.19,0.19,0.77,1.16,6.18,9.07,11.97,0.29,3.12,2.13,3.21,5.79,3.28,0.39,2.89,7.91,0.96,0.39,0,0,-0.58,0,0,0
"Adam Clendening","ADAM.CLENDENING","15-16","PIT","D","R",1992-10-26,22,9,118.18,0,0,0.51,0.51,5.58,6.6,10.66,0.1,0,0,1.54,2.03,1.02,1.52,2.03,8.12,2.54,1.02,0,0,-1.52,0,0,0
"Adam Clendening","ADAM.CLENDENING","16-17","NYR","D","R",1992-10-26,23,31,490.1,0.24,0.24,0.86,1.35,4.65,6.98,10.77,0.14,5.26,3.51,2.04,3.31,2.45,0.86,2.69,8.08,0.73,0.49,0.12,0.12,-0.24,0,0,0
"Adam Clendening","ADAM.CLENDENING","17-18","ARI","D","R",1992-10-26,24,5,79.67,0,0,1.51,1.51,3.01,6.02,8.28,0.08,0,0,1.38,4.52,3.01,1.51,1.51,3.77,0.75,0,0,0,-0.75,0,0,0
"Adam Cracknell","ADAM.CRACKNELL","10-11","STL","R","R",1985-07-15,25,24,214.17,0.84,0.84,0.28,1.96,7.28,10.65,13.17,0.59,11.54,7.89,5.58,1.96,0.28,2.24,8.12,5.6,1.12,0.56,0,0,-0.56,12.89,20.17,-7.28
"Adam Cracknell","ADAM.CRACKNELL","12-13","STL","R","R",1985-07-15,27,20,172.28,0.7,0.7,0.7,2.09,7.31,10.1,13.58,0.55,9.52,6.9,5.41,2.44,0.35,2.09,7.66,10.1,0.7,0.7,0,0,0,2.09,6.62,-4.53
"Adam Cracknell","ADAM.CRACKNELL","13-14","STL","R","R",1985-07-15,28,19,155.45,0,0.39,0.39,0.77,6.18,8.88,10.81,0.45,0,0,5.04,3.09,0,1.16,12.74,10.04,0,1.16,0,0,1.16,3.86,6.56,-2.7
"Adam Cracknell","ADAM.CRACKNELL","14-15","CBJ","R","R",1985-07-15,29,17,169.1,0,0.35,0,0.35,6.03,9.23,10.29,0.39,0,0,4.19,2.13,1.06,1.77,15.26,7.45,0.35,0.35,0,0,0,7.1,13.48,-6.39
"Adam Cracknell","ADAM.CRACKNELL","15-16","EDM","R","R",1985-07-15,30,8,90.42,0,0,0,0,8.63,10.62,12.61,1.04,0,0,9.81,1.99,1.99,1.99,19.91,6.64,1.99,1.33,0,0,-0.66,2.65,5.97,-3.32
"Adam Cracknell","ADAM.CRACKNELL","15-16","VAN","R","R",1985-07-15,30,44,545.6,0.55,0.44,0.11,1.1,6.05,8.36,11.11,0.44,9.09,6.58,5.32,2.42,1.21,2.2,10.34,5.61,0.77,1.21,0,0,0.44,16.72,25.29,-8.58
"Adam Cracknell","ADAM.CRACKNELL","16-17","DAL","R","R",1985-07-15,31,69,721.75,0.83,0.25,0.25,1.33,7.23,10.56,14.13,0.65,11.49,7.87,6.17,3.08,1.33,1.58,7.56,4.32,0.5,1.33,0,0,0.83,11.22,13.3,-2.08
"Adam Erne","ADAM.ERNE","16-17","T.B","L","L",1995-04-20,21,26,306.98,0.59,0,0,0.59,7.82,11.34,12.7,0.64,7.5,5.17,5.66,2.54,0.98,0.39,13.88,4.5,0.59,0.98,0.2,0.2,0.39,0,0.39,-0.39
"Adam Erne","ADAM.ERNE","17-18","T.B","L","L",1995-04-20,22,23,232.73,0.77,0,0.26,1.03,7.48,10.83,12.63,0.65,10.34,7.14,6.05,2.06,1.03,1.03,9.54,5.41,0.77,0.77,0.26,0.26,0,1.29,0.77,0.52
"Adam Erne","ADAM.ERNE","18-19","T.B","L","L",1995-04-20,23,65,685.63,0.61,0.53,0.61,1.75,6.13,9.01,11.81,0.56,10,6.8,6.22,2.28,0.7,1.4,13.91,4.81,0.88,0.88,0.18,0.18,0,0.96,1.05,-0.09
"Adam Erne","ADAM.ERNE","19-20","DET","L","L",1995-04-20,24,56,661.68,0.18,0.27,0,0.45,5.71,7.34,9.61,0.51,3.17,2.47,6.9,2.27,2.45,0.45,12.88,2.9,1,0.45,0,0,-0.54,1.81,1.18,0.63
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,1514.07,0.04,0.12,0.4,0.55,2.26,3.41,4.56,0.08,1.75,1.16,2.49,5.03,0.4,0.59,3.09,2.46,1.19,0.91,0.04,0.04,-0.28,0,0,0
"Adam Foote","ADAM.FOOTE","07-08","COL","D","R",1971-07-10,36,12,240.18,0,0,0.25,0.25,2.25,2.5,6,0.11,0,0,4.6,5.25,2,0.75,3.75,2.5,1.5,0.5,0,0,-1,0,0,0
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,42,825.65,0.07,0.07,0.36,0.51,1.38,2.11,3.12,0.07,5.26,3.45,3.17,5.6,2.03,1.24,3.92,3.05,1.09,0.07,0,0.07,-0.94,0,0,0
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,1297.13,0,0.23,0.19,0.42,1.2,2.17,3.7,0.05,0,0,2.32,4.72,1.02,0.51,5.13,2.73,1.25,0.69,0,0.05,-0.51,0,0,0
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,842.48,0,0.21,0.36,0.57,1.64,2.07,2.92,0.07,0,0,3.34,4.77,1.07,0.28,3.92,2.49,1,0.64,0.07,0.07,-0.36,0,0,0
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,70,1323.3,0.36,0.91,0.63,1.9,5.67,7.84,11.02,0.36,6.4,4.62,4.55,4.17,2.77,2.58,1.59,4.17,0.73,0.45,0,0,-0.27,0,0,0
"Adam Gaudette","ADAM.GAUDETTE","17-18","VAN","C","R",1996-10-03,20,5,63.93,0,0,0,0,8.45,13.14,18.77,0.62,0,0,4.71,2.82,3.75,0.94,1.88,6.57,0,0,0,0,0,5.63,9.39,-3.75
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,56,613.15,0.49,0.39,0.29,1.17,5.38,8.12,10.76,0.55,9.09,6.02,6.75,1.47,0.68,0.98,4.7,5.38,0.88,1.37,0,0,0.49,14.68,21.63,-6.95
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,59,730.63,0.99,0.57,1.15,2.71,6.16,9.61,12.4,0.73,16,10.26,7.57,1.64,1.23,1.89,2.38,3.61,0.99,0.74,0.08,0.08,-0.25,15.36,21.93,-6.57
"Adam Hall","ADAM.HALL","07-08","PIT","R","R",1980-08-14,27,46,546.15,0.22,0.11,0.33,0.66,4.28,6.04,6.59,0.35,5.13,3.64,5.85,3.3,0.22,0.77,4.94,3.08,0.77,0.88,0.22,0.22,0.11,16.04,15.82,0.22
"Adam Hall","ADAM.HALL","08-09","T.B","R","R",1980-08-14,28,74,828.65,0.36,0.22,0.14,0.72,6.52,8.54,10.35,0.54,5.56,4.24,6.36,2.68,0.43,1.3,6.15,4.92,0.51,1.38,0.22,0.22,0.87,12.24,12.24,0
"Adam Hall","ADAM.HALL","10-11","T.B","R","R",1980-08-14,30,82,1217.65,0.34,0.34,0.2,0.89,8.23,10.84,12.22,0.73,4.19,3.18,6.71,2.91,0.89,1.08,7.49,5.52,0.54,1.18,0.1,0.1,0.64,17.74,14.54,3.2
"Adam Hall","ADAM.HALL","11-12","T.B","R","R",1980-08-14,31,57,676.35,0.18,0.35,0.09,0.62,5.59,7.19,7.9,0.45,3.17,2.47,6.26,2.66,0.53,1.06,7.9,3.55,0.53,0.89,0.09,0.09,0.35,24.48,16.68,7.81
"Adam Hall","ADAM.HALL","12-13","CAR","R","R",1980-08-14,32,6,63.08,0,0,0,0,2.85,5.71,8.56,0.29,0,0,5.17,4.76,0.95,0.95,18.07,1.9,0,0,0,0,0,1.9,5.71,-3.8
"Adam Hall","ADAM.HALL","12-13","PHI","R","R",1980-08-14,32,11,120.77,0,0,0,0,7.45,10.43,10.93,0.53,0,0,5.1,4.97,0.99,1.49,5.96,4.97,0,0.5,0,0,0.5,22.85,15.9,6.96
"Adam Hall","ADAM.HALL","12-13","T.B","R","R",1980-08-14,32,20,205.83,0,0.87,0.29,1.17,4.66,5.83,6.12,0.29,0,0,4.95,3.21,0.87,2.04,8.16,4.96,1.17,1.46,0.29,0.29,0.29,27.11,20.99,6.12
"Adam Hall","ADAM.HALL","13-14","PHI","R","R",1980-08-14,33,80,787.08,0.3,0.23,0.15,0.69,4.65,6.1,7.85,0.43,6.56,5,7.09,3.51,0.46,1.37,5.87,5.03,0.69,0.46,0.08,0.08,-0.23,23.94,16.24,7.7
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,74,1343.85,0.71,0.8,0.76,2.28,5.8,7.32,8.44,0.66,12.31,9.76,9.05,2.54,1.12,2.19,3.71,2.72,0.04,0.63,0.04,0.04,0.58,22.37,23.44,-1.07
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,769.37,0.86,0.39,0,1.25,6.08,9.05,10.92,0.85,14.1,9.48,9.43,1.64,1.01,2.03,2.11,2.73,0.62,0.94,0,0,0.31,25.97,27.06,-1.09
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,1390.18,1.08,0.39,0.39,1.86,5.91,7.81,9.62,0.75,18.25,13.81,9.59,2.16,1.29,2.16,3.15,3.06,0.43,0.95,0,0,0.52,17.57,22.05,-4.49
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,75,1330.78,0.72,0.72,0.5,1.94,5.73,7.44,10.1,0.67,12.6,9.7,9.01,1.98,0.95,1.4,2.66,3.47,0.54,0.5,0,0,-0.05,12.17,11.23,0.95
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,80,1586.12,1.13,0.26,0.49,1.89,5.64,7.38,9,0.77,20.13,15.38,10.44,2.12,1.02,1.44,2.5,2.99,0.34,0.57,0.04,0.04,0.23,23.34,28.9,-5.56
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,82,1490.12,0.81,0.52,0.28,1.61,5.72,7.65,9.78,0.74,14.08,10.53,9.67,2.74,1.13,1.81,3.54,3.78,0.6,0.77,0,0,0.16,23.56,25.33,-1.77
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,57,1002.42,1.2,0.6,0.36,2.15,6.11,8.74,10.89,1,19.61,13.7,11.49,2.81,1.5,1.56,2.63,3.11,0.42,0.42,0,0,0,20.77,21.91,-1.14
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,24,438.18,0.55,0.96,0.41,1.92,6.71,9.04,11.09,0.93,8.16,6.06,10.32,1.92,0.55,1.92,2.33,3.56,0.41,0.41,0,0,0,22.05,24.78,-2.74
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,82,1349,0.8,0.67,0.4,1.87,5.43,8.45,9.96,0.76,14.75,9.47,8.96,3.16,1.16,1.73,3.47,3.07,0.53,0.67,0,0,0.13,25.4,22.77,2.62
