"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,152.43,42.09,37.16,41.54,41.72,49.88,3.91,5.38,51.05,86.34,85.26,119.99,115.72,161.68,6.07,6.1,-1.47,-35.29,-34.73,-45.96,-0.03,7.66,93.77
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,295.88,14.39,42.42,44.27,45.86,44.64,3,17.85,125.32,170.13,185.86,233.98,267.64,315.95,11.16,13.84,-14.85,-44.81,-48.12,-48.31,-2.68,2.39,89.51
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,99.1,76.59,55.79,51.73,56.01,48.33,6.15,1.88,45.94,36.41,65.01,60.65,102.53,80.54,3.61,3.86,4.27,9.53,4.36,21.99,-0.25,13.39,94.84
"Aaron Ness","AARON.NESS","17-18","WSH","D","L",1990-05-18,27,8,101.82,55.18,43.66,41.93,41.76,41.59,6.07,4.93,47.62,61.45,63.21,87.53,78.21,109.09,3.46,4.86,1.14,-13.83,-24.32,-30.88,-1.4,12.75,91.98
"Aaron Ness","AARON.NESS","19-20","ARI","D","L",1990-05-18,29,24,300.83,49.44,51.3,49.38,49.42,50.48,12.82,13.11,154.98,147.11,210.56,215.82,275.5,281.96,11.13,10.92,-0.29,7.87,-5.26,-6.46,0.21,8.27,91.09
"Aaron Palushaj","AARON.PALUSHAJ","11-12","MTL","R","R",1989-09-07,22,38,287.52,54.04,53.81,53.77,56.08,54.31,8.03,6.83,132.78,113.98,196.86,169.24,301.73,236.28,10.45,8.79,1.2,18.8,27.62,65.45,1.66,6.05,94.01
"Aaron Palushaj","AARON.PALUSHAJ","12-13","COL","R","R",1989-09-07,23,25,282.88,46.6,50.36,49.3,48.95,52.21,13.09,15,154.68,152.49,198.76,204.44,258.2,269.29,11.57,10.59,-1.91,2.19,-5.68,-11.09,0.98,8.46,90.16
"Aaron Rome","AARON.ROME","07-08","CBJ","D","L",1983-09-27,23,17,309.03,29.69,48.11,48.68,47.33,47.66,5.98,14.16,128.56,138.66,173.35,182.73,217.71,242.25,9.86,10.83,-8.18,-10.1,-9.38,-24.54,-0.97,4.65,89.79
"Aaron Rome","AARON.ROME","08-09","CBJ","D","L",1983-09-27,24,8,123.73,46.94,61.36,59.98,56.9,65.18,4.07,4.6,63.73,40.14,89.13,59.48,109.46,82.9,5.41,2.89,-0.53,23.59,29.65,26.56,2.52,6.39,88.54
"Aaron Rome","AARON.ROME","09-10","VAN","D","L",1983-09-27,25,49,743.77,46.12,49.03,48.02,49.13,47.48,29.47,34.43,356.82,370.87,481.15,520.83,644.38,667.13,27.73,30.67,-4.96,-14.05,-39.68,-22.75,-2.94,8.26,90.72
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,975.03,47.68,44.48,46.04,47.4,44.68,35.69,39.17,412.94,515.45,591.73,693.43,810.47,899.39,36.12,44.73,-3.48,-102.51,-101.7,-88.92,-8.61,8.64,92.4
"Aaron Rome","AARON.ROME","11-12","VAN","D","L",1983-09-27,27,43,654.73,42.91,52.05,51.55,51.01,49.28,20.86,27.75,330.72,304.61,441.56,415,594.24,570.82,24.82,25.55,-6.89,26.11,26.56,23.42,-0.73,6.31,90.89
"Aaron Rome","AARON.ROME","12-13","DAL","D","L",1983-09-27,28,27,414.02,35.58,37.87,38.08,40.98,37.1,13.83,25.04,149.63,245.47,212.41,345.37,308.84,444.74,12.91,21.89,-11.21,-95.84,-132.96,-135.9,-8.98,9.24,89.8
"Aaron Rome","AARON.ROME","13-14","DAL","D","L",1983-09-27,29,25,327.2,34.81,45.92,46.14,46.38,43.99,11.98,22.44,140.7,165.71,202.31,236.2,290.65,336.01,12.77,16.26,-10.46,-25.01,-33.89,-45.36,-3.49,8.51,86.46
"Aaron Volpatti","AARON.VOLPATTI","10-11","VAN","L","L",1985-05-30,25,15,102.47,49.84,57.27,53.33,51.39,51.37,3.04,3.06,51.22,38.22,67.71,59.25,83.96,79.41,3.37,3.19,-0.02,13,8.46,4.55,0.18,5.94,91.99
"Aaron Volpatti","AARON.VOLPATTI","11-12","VAN","L","L",1985-05-30,26,23,206.28,37.68,44.59,44.97,45.34,46.03,4.88,8.07,75.83,94.22,110.75,135.52,156.43,188.59,5.45,6.39,-3.19,-18.39,-24.77,-32.16,-0.94,6.44,91.43
"Aaron Volpatti","AARON.VOLPATTI","12-13","VAN","L","L",1985-05-30,27,16,117,49.88,53.09,52.59,51.45,56.51,2.06,2.07,45.39,40.1,66.55,59.99,86.94,82.05,3.17,2.44,-0.01,5.29,6.56,4.89,0.73,4.54,94.84
"Aaron Volpatti","AARON.VOLPATTI","12-13","WSH","L","L",1985-05-30,27,17,158.13,36.89,41.62,46.15,42.73,43.51,2.94,5.03,60.84,85.35,89.85,104.86,113.02,151.45,4.83,6.27,-2.09,-24.51,-15.01,-38.43,-1.44,4.83,94.11
"Aaron Volpatti","AARON.VOLPATTI","13-14","WSH","L","L",1985-05-30,28,41,301.87,37.01,39.99,40.29,40.4,40.31,4.09,6.96,101.32,152.03,140.24,207.84,197.58,291.44,7.22,10.69,-2.87,-50.71,-67.6,-93.86,-3.47,4.04,95.42
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,504.6,50.45,46.68,47.15,48.9,55.25,25.31,24.86,217.56,248.5,307.39,344.5,412.41,431.04,19.93,16.14,0.45,-30.94,-37.11,-18.63,3.79,11.63,90
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,603.58,44.99,56.77,56.68,59.69,54.17,23.05,28.18,352.59,268.51,490.7,375.09,656.92,443.63,34.23,28.96,-5.13,84.08,115.61,213.29,5.27,6.54,89.51
"Aaron Voros","AARON.VOROS","09-10","NYR","L","L",1981-07-02,28,41,251.83,48.33,44.36,45.03,44.04,42.35,9.26,9.9,101.33,127.09,142.89,174.45,194.13,246.69,8.17,11.12,-0.64,-25.76,-31.56,-52.56,-2.95,9.14,92.21
"Aaron Voros","AARON.VOROS","10-11","ANA","L","L",1981-07-02,29,12,66.55,17.54,48.87,48.22,45.28,46.58,1.07,5.03,28.95,30.29,43.38,46.58,51.21,61.88,2.18,2.5,-3.96,-1.34,-3.2,-10.67,-0.32,3.7,83.39
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,1325.75,50.07,47.41,47.6,48.44,45.37,54.77,54.62,590.35,654.79,824.72,907.78,1083.44,1153.22,48.55,58.46,0.15,-64.44,-83.06,-69.78,-9.91,9.28,91.66
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,1214.9,49.68,45.25,46.29,45.84,45.16,46.89,47.49,539.04,652.26,756.79,878.07,993.79,1174.06,45.64,55.42,-0.6,-113.22,-121.28,-180.27,-9.78,8.7,92.72
"Aaron Ward","AARON.WARD","09-10","ANA","D","R",1973-01-17,36,17,245.47,42.45,41.62,42.33,42.98,36.09,10.9,14.78,113.6,159.37,161.22,219.61,203.47,269.99,9.44,16.72,-3.88,-45.77,-58.39,-66.52,-7.28,9.6,90.73
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,1062.55,34.79,42.5,42.92,43.19,37.98,36.1,67.66,426,576.45,610.4,811.8,842.24,1107.75,36.39,59.43,-31.56,-150.45,-201.4,-265.51,-23.04,8.47,88.26
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,665.12,53.93,51.05,51.85,53.17,52.5,38.51,32.9,391.85,375.73,516.38,479.59,686.06,604.32,36.27,32.81,5.61,16.12,36.79,81.74,3.46,9.83,91.24
"Adam Brooks","ADAM.BROOKS","19-20","TOR","C","L",1996-05-06,23,7,54.97,60,53.64,47.95,46.69,51.52,2.94,1.96,22.04,19.05,32.33,35.09,42.31,48.31,2.37,2.23,0.98,2.99,-2.76,-6,0.14,13.34,89.71
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,938.38,26.67,36.22,35.62,34.5,31.23,19.57,53.81,296.76,522.48,377.02,681.43,478.54,908.44,21.69,47.77,-34.24,-225.72,-304.41,-429.9,-26.08,6.59,89.7
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,606.65,42.34,46,45.61,43.29,44.02,17.43,23.74,256.53,301.2,328.92,392.28,413.97,542.31,19.32,24.57,-6.31,-44.67,-63.36,-128.34,-5.25,6.79,92.12
"Adam Burish","ADAM.BURISH","09-10","CHI","R","R",1983-01-06,26,13,114.07,61.42,51.8,52.02,51.08,47.91,6.24,3.92,63.62,59.2,85.27,78.65,112.11,107.38,4.48,4.87,2.32,4.42,6.62,4.73,-0.39,9.81,93.38
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,904.03,40.26,41.32,40.34,38.62,37.44,25.95,38.51,344.55,489.37,473.09,699.61,629.43,1000.34,25.61,42.79,-12.56,-144.82,-226.52,-370.91,-17.18,7.53,92.13
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,65,831.22,47.98,43.93,45.04,45.24,43.57,31.88,34.56,338.82,432.39,496.13,605.41,692.84,838.66,26.85,34.77,-2.68,-93.57,-109.28,-145.82,-7.92,9.41,92.01
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,46,486.2,21.01,38.58,39.72,39.56,38.5,5,18.8,168.13,267.63,254.78,386.72,356.6,544.76,13.81,22.06,-13.8,-99.5,-131.94,-188.16,-8.25,2.97,92.98
"Adam Burish","ADAM.BURISH","13-14","S.J","R","R",1983-01-06,30,15,144.3,19.6,50.84,53.16,48.13,52.7,1.95,8,59.7,57.73,98.51,86.8,121.94,131.4,5.75,5.16,-6.05,1.97,11.71,-9.46,0.59,3.27,86.14
"Adam Burish","ADAM.BURISH","14-15","S.J","R","R",1983-01-06,31,20,222.9,18.96,32.32,32.83,33.69,27.53,3,12.82,65.28,136.72,94.61,193.56,136.2,268.11,4.87,12.82,-9.82,-71.44,-98.95,-131.91,-7.95,4.6,90.62
"Adam Clendening","ADAM.CLENDENING","14-15","CHI","D","R",1992-10-26,21,4,52.68,77.58,59.43,60.62,63.94,56.35,6.54,1.89,32.69,22.32,47.3,30.73,69.15,39,3.15,2.44,4.65,10.37,16.57,30.15,0.71,20.01,91.53
"Adam Clendening","ADAM.CLENDENING","14-15","VAN","D","R",1992-10-26,21,17,296.7,53.43,54.6,54.82,52.94,48.46,13.78,12.01,165.94,137.97,222.61,183.45,277.06,246.3,12.77,13.58,1.77,27.97,39.16,30.76,-0.81,8.3,91.3
"Adam Clendening","ADAM.CLENDENING","15-16","EDM","D","R",1992-10-26,22,20,310.9,56.52,49.16,47.78,48.27,50.48,13.17,10.13,156.38,161.75,217.81,238.09,294.48,315.59,13.04,12.79,3.04,-5.37,-20.28,-21.11,0.25,8.42,93.74
"Adam Clendening","ADAM.CLENDENING","15-16","PIT","D","R",1992-10-26,22,9,118.18,65.69,49.15,50.36,53.25,51.02,5.82,3.04,57.82,59.82,73.61,72.55,101.86,89.43,4,3.84,2.78,-2,1.06,12.43,0.16,10.07,94.92
"Adam Clendening","ADAM.CLENDENING","16-17","NYR","D","R",1992-10-26,23,31,490.1,57.01,55.45,56.96,57.71,56.16,22.74,17.15,242.13,194.54,364.93,275.72,498.33,365.18,23.3,18.19,5.59,47.59,89.21,133.15,5.11,9.39,91.18
"Adam Clendening","ADAM.CLENDENING","17-18","ARI","D","R",1992-10-26,24,5,79.67,39.32,44.03,43.07,41.81,34.97,4.05,6.25,40.73,51.77,54.32,71.8,69.76,97.08,2.92,5.43,-2.2,-11.04,-17.48,-27.32,-2.51,9.94,87.93
"Adam Cracknell","ADAM.CRACKNELL","10-11","STL","R","R",1985-07-15,25,24,214.17,52.72,49.64,47.97,48.77,44.14,10.17,9.12,91.85,93.19,127.41,138.18,182.7,191.91,6.51,8.24,1.05,-1.34,-10.77,-9.21,-1.73,11.07,90.21
"Adam Cracknell","ADAM.CRACKNELL","12-13","STL","R","R",1985-07-15,27,20,172.28,68.14,58.31,56.97,56.44,56.11,6.01,2.81,84.45,60.37,120.14,90.74,160.71,124.03,6.15,4.81,3.2,24.08,29.4,36.68,1.34,7.12,95.35
"Adam Cracknell","ADAM.CRACKNELL","13-14","STL","R","R",1985-07-15,28,19,155.45,49.46,51.39,50.37,49.92,44.02,6,6.13,71.96,68.06,99.1,97.63,129.9,130.33,4.71,5.99,-0.13,3.9,1.47,-0.43,-1.28,8.34,90.99
"Adam Cracknell","ADAM.CRACKNELL","14-15","CBJ","R","R",1985-07-15,29,17,169.1,7.78,37.45,37.09,38.16,32.14,0.94,11.15,59.45,99.3,82.76,140.37,110.31,178.77,3.41,7.2,-10.21,-39.85,-57.61,-68.46,-3.79,1.58,88.77
"Adam Cracknell","ADAM.CRACKNELL","15-16","EDM","R","R",1985-07-15,30,8,90.42,0,47.99,51.35,50.36,56.79,0,2.01,42.95,46.54,62.94,59.62,84.45,83.24,3.64,2.77,-2.01,-3.59,3.32,1.21,0.87,0,95.68
"Adam Cracknell","ADAM.CRACKNELL","15-16","VAN","R","R",1985-07-15,30,44,545.6,41.27,43.93,43.62,43.51,41.38,13.14,18.7,211.2,269.55,294.27,380.29,403.75,524.29,16.58,23.49,-5.56,-58.35,-86.02,-120.54,-6.91,6.22,93.06
"Adam Cracknell","ADAM.CRACKNELL","16-17","DAL","R","R",1985-07-15,31,69,721.75,54.58,51.55,51.12,49.93,48.8,28.91,24.06,350.76,329.63,511.54,489.22,697.19,699.1,28.33,29.72,4.85,21.13,22.32,-1.91,-1.39,8.24,92.7
"Adam Erne","ADAM.ERNE","16-17","T.B","L","L",1995-04-20,21,26,306.98,27.55,50.6,52.96,52.18,53.02,4.99,13.12,140.64,137.33,210.18,186.65,277.4,254.23,11.33,10.04,-8.13,3.31,23.53,23.17,1.29,3.55,90.45
"Adam Erne","ADAM.ERNE","17-18","T.B","L","L",1995-04-20,22,23,232.73,47.76,53.2,54.49,53.29,52.96,8.86,9.69,113.22,99.6,154.74,129.25,203.93,178.75,7.7,6.84,-0.83,13.62,25.49,25.18,0.86,7.83,90.27
"Adam Erne","ADAM.ERNE","18-19","T.B","L","L",1995-04-20,23,65,685.63,62.04,49.35,49.09,49.57,51.64,34.32,21,317.75,326.06,443.44,459.79,588.73,598.94,24.83,23.25,13.32,-8.31,-16.35,-10.21,1.58,10.8,93.56
"Adam Erne","ADAM.ERNE","19-20","DET","L","L",1995-04-20,24,56,661.68,20.95,44.27,43.73,44.04,42.47,8.74,32.97,246.29,310.02,346.64,446.03,463.24,588.67,20.29,27.49,-24.23,-63.73,-99.39,-125.43,-7.2,3.55,89.37
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,1514.07,41.16,43.08,43.05,42.82,42.22,48.2,68.89,609.69,805.66,817.96,1081.98,1045.28,1395.88,47.94,65.62,-20.69,-195.97,-264.02,-350.6,-17.68,7.91,91.45
"Adam Foote","ADAM.FOOTE","07-08","COL","D","R",1971-07-10,36,12,240.18,36.31,40.93,38.89,38.77,42.97,5.04,8.84,85.19,122.94,103,161.84,135.65,214.2,7.55,10.02,-3.8,-37.75,-58.84,-78.55,-2.47,5.92,92.81
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,42,825.65,28.37,37.06,36.83,34.98,35.34,19.51,49.26,295.3,501.43,400.54,687,510.38,948.62,23.92,43.76,-29.75,-206.13,-286.46,-438.24,-19.84,6.61,90.18
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,1297.13,43.61,38.77,38.17,38.37,38.73,54.52,70.49,514.87,813.29,697.92,1130.59,909.7,1461.47,43.54,68.87,-15.97,-298.42,-432.67,-551.77,-25.33,10.59,91.33
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,842.48,31.39,37.17,36.62,36.21,38.2,28.5,62.3,326.11,551.35,432.44,748.55,563.05,991.87,29.7,48.04,-33.8,-225.24,-316.11,-428.82,-18.34,8.74,88.7
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,70,1323.3,63.82,55.49,55.92,55.03,56.31,86.58,49.08,749.53,601.21,1019.49,803.67,1329.54,1086.35,70.14,54.43,37.5,148.32,215.82,243.19,15.71,11.55,91.84
"Adam Gaudette","ADAM.GAUDETTE","17-18","VAN","C","R",1996-10-03,20,5,63.93,100,46.73,46.64,46.92,49.91,1.95,0,29.32,33.43,41.6,47.6,58.48,66.16,2.86,2.87,1.95,-4.11,-6,-7.68,-0.01,6.65,100
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,56,613.15,48.51,48.56,50.01,50.26,44.42,24.02,25.5,295.26,312.8,413.42,413.32,555.65,549.9,20.57,25.74,-1.48,-17.54,0.1,5.75,-5.17,8.14,91.85
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,59,730.63,55.2,48.03,50.9,50.91,52.98,45.5,36.93,372.56,403.09,538.41,519.45,720.26,694.41,33.56,29.79,8.57,-30.53,18.96,25.85,3.77,12.21,90.84
"Adam Hall","ADAM.HALL","07-08","PIT","R","R",1980-08-14,27,46,546.15,25.89,31.18,29.61,28.49,26.89,7.9,22.61,148.46,327.75,204.22,485.45,255.72,641.82,11.55,31.4,-14.71,-179.29,-281.23,-386.1,-19.85,5.32,93.1
"Adam Hall","ADAM.HALL","08-09","T.B","R","R",1980-08-14,28,74,828.65,27.3,40.17,39.18,37.74,36.92,15.31,40.78,318.31,474.14,416.55,646.5,523.15,863.15,24,41,-25.47,-155.83,-229.95,-340,-17,4.81,91.4
"Adam Hall","ADAM.HALL","10-11","T.B","R","R",1980-08-14,30,82,1217.65,31.06,46.31,44.37,40.89,44.18,27.98,62.09,509.08,590.29,680.54,853.37,852.17,1231.73,42.66,53.89,-34.11,-81.21,-172.83,-379.56,-11.23,5.5,89.48
"Adam Hall","ADAM.HALL","11-12","T.B","R","R",1980-08-14,31,57,676.35,24.58,37.13,35.36,33.52,28.87,15.86,48.67,236.38,400.24,305.27,558.04,384.3,762.24,15.42,38,-32.81,-163.86,-252.77,-377.94,-22.58,6.71,87.84
"Adam Hall","ADAM.HALL","12-13","CAR","R","R",1980-08-14,32,6,63.08,0,39.69,44.92,44.46,44.87,0,1.93,20.24,30.75,33.55,41.14,45.65,57.02,1.88,2.31,-1.93,-10.51,-7.59,-11.37,-0.43,0,93.72
"Adam Hall","ADAM.HALL","12-13","PHI","R","R",1980-08-14,32,11,120.77,34.87,43.04,41.29,36.22,36.96,3.03,5.66,48.69,64.44,65.48,93.1,76.72,135.09,3.6,6.14,-2.63,-15.75,-27.62,-58.37,-2.54,6.22,91.22
"Adam Hall","ADAM.HALL","12-13","T.B","R","R",1980-08-14,32,20,205.83,41.94,34.32,33.65,29.72,32.59,5.05,6.99,60.02,114.85,80.7,159.13,92.23,218.13,4.8,9.93,-1.94,-54.83,-78.43,-125.9,-5.13,8.41,93.91
"Adam Hall","ADAM.HALL","13-14","PHI","R","R",1980-08-14,33,80,787.08,24.15,34.09,34.42,34.51,28.12,16.07,50.48,235.46,455.14,326.28,621.65,455.15,863.72,17.22,44.01,-34.41,-219.68,-295.37,-408.57,-26.79,6.82,88.91
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,74,1343.85,53.04,51.31,52.15,51.46,52.89,65.67,58.14,616.19,584.61,844.76,775.03,1096.99,1034.86,55.88,49.77,7.53,31.58,69.73,62.13,6.11,10.66,90.05
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,769.37,44.51,54.02,56.87,57.25,54.23,30.67,38.23,351.97,299.64,522.2,396.08,727.27,543.15,35.08,29.61,-7.56,52.33,126.12,184.12,5.47,8.71,87.24
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,1390.18,53.42,50.98,52.06,52.21,53.12,64.91,56.61,613.07,589.4,866.94,798.3,1157.68,1059.78,61.09,53.91,8.3,23.67,68.64,97.9,7.18,10.59,90.4
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,75,1330.78,48.23,43.49,44.95,44.93,46.69,61.55,66.06,550.96,715.79,775.48,949.89,1048.52,1285.3,57.7,65.88,-4.51,-164.83,-174.41,-236.78,-8.18,11.17,90.77
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,80,1586.12,53.91,46.57,46.45,45.82,48.07,78.2,66.85,656.93,753.75,907.06,1045.86,1161.77,1373.97,71.35,77.07,11.35,-96.82,-138.8,-212.2,-5.72,11.9,91.13
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,82,1490.12,42.53,45.92,45.94,46.61,45.83,62.64,84.64,679.63,800.29,946.34,1113.57,1248.02,1429.32,68.27,80.7,-22,-120.66,-167.23,-181.3,-12.43,9.22,89.42
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,57,1002.42,68.59,54.04,54.28,54.06,57.79,63.05,28.87,555.65,472.51,796.32,670.73,1057.11,898.46,61.84,45.16,34.18,83.14,125.59,158.65,16.68,11.35,93.89
